config_id,seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,moment_score_j,moment_score_k,pair_moment_score,mean_zerr_j,mean_zerr_k,sd_logerr_j,sd_logerr_k,beta_skl_j,beta_skl_k,corr_last,corr_mcmc,corr_absdiff,joint_skl,pair_score
E07,400,true_active_true_active,49,12,50,13,1.7504162,1.2004611,0.14781341387443514,0.15109584631406997,0.2989092601885051,0.0351436990166578,0.033084392120744294,0.11266971485777734,0.11801145419332566,0.01569403600227808,0.019445300392415977,0.118836167890298,0.01151633749355753,0.10731983039674046,0.0553937910504384,0.33127859689273403
E08,400,true_active_true_active,12,49,13,50,1.2004611,1.7504162,0.20086540714889606,0.21218776898066066,0.4130531761295567,0.04741606581857972,0.10213010336784925,0.15344934133031635,0.1100576656128114,0.03311804266448758,0.019556311039236572,0.10394237806768522,0.011516337493557531,0.09242604057412769,0.07203703389980085,0.44336338966306876
E04,451,true_active_true_active,80,1,81,2,-1.1350569,1.2273421,0.1693809663793764,0.2423136228641688,0.4116945892435452,0.0025257803423289035,0.11266189323150651,0.16685518603704752,0.12965172963266228,0.030316991036957473,0.02715655270414826,-0.13740934046965242,0.16227902697254554,0.29968836744219796,0.12087546872322998,0.49870422797641767
E02,400,true_active_true_active,49,12,50,13,1.7504162,1.2004611,0.11151293717059847,0.3373151684874563,0.44882810565805475,0.048545646857855104,0.11391248810083095,0.06296729031274337,0.22340268038662534,0.007354604636169234,0.05976355797116856,0.23129064460387624,0.01151633749355753,0.2197743071103187,0.11026441011570182,0.5147981234472045
E04,400,true_active_true_active,49,52,50,53,1.7504162,-1.1843685,0.10458079980093728,0.34834148885987115,0.4529222886608084,0.03018499873078728,0.15250547100928266,0.07439580107015,0.1958360178505885,0.008512913949844884,0.053909695794221904,-0.2400373564490222,0.028506495135075006,0.2685438515840972,0.11292173025796555,0.5313504245826293
E01,400,true_active_true_active,49,12,50,13,1.7504162,1.2004611,0.009610620510715812,0.44645918399189133,0.45606980450260715,0.00030748196399548805,0.30028121130858143,0.009303138546720324,0.14617797268330993,0.0025637813171274556,0.060883295773472845,0.27165341636148826,0.01151633749355753,0.26013707886793075,0.11541766013701527,0.5326458402332913
E01,400,true_active_true_active,49,52,50,53,1.7504162,-1.1843685,0.009610620510715812,0.4657912282414792,0.47540184875219504,0.00030748196399548805,0.325453249113849,0.009303138546720324,0.14033797912763024,0.0025637813171274556,0.07031853121173112,-0.18186612461404386,0.028506495135075006,0.21037261974911886,0.10619633103979495,0.5386146367934542
E04,400,true_active_true_active,49,12,50,13,1.7504162,1.2004611,0.10458079980093728,0.35616095845803913,0.4607417582589764,0.03018499873078728,0.24857775156644668,0.07439580107015,0.10758320689159245,0.008512913949844884,0.04564613675110376,0.29146848973881173,0.01151633749355753,0.2799521522452542,0.10683277030269478,0.5414130733505594
E05,437,true_active_true_active,68,47,69,48,1.0165913,0.7803256,0.2270022809326253,0.3637095691261713,0.5907118500587967,0.19050584299996798,0.23993668778399382,0.03649643793265735,0.12377288134217747,0.020304570755212442,0.06459114721082809,0.15597005271133854,0.24418702691439262,0.08821697420305408,0.09912587165423864,0.6226786807749841
E07,437,true_active_true_active,68,47,69,48,1.0165913,0.7803256,0.22190434999944797,0.3684868510969391,0.5903912010963871,0.19731044088069566,0.2370412677501919,0.02459390911875231,0.13144558334674725,0.023062991728718472,0.07454215819290982,0.15217046897245046,0.24418702691439262,0.09201655794194216,0.104890907040119,0.6238844312858846
E06,437,true_active_true_active,68,47,69,48,1.0165913,0.7803256,0.25843047070949626,0.338028911490992,0.5964593822004882,0.20717919034443316,0.23615071316807518,0.051251280365063115,0.10187819832291681,0.024252821748164496,0.0553633835178005,0.15516710983989823,0.24418702691439262,0.08901991707449439,0.0958881782931304,0.6283031792984249
E08,437,true_active_true_active,68,47,69,48,1.0165913,0.7803256,0.2534448970002863,0.3427077599715106,0.5961526569717969,0.21400634476280286,0.23315912681369078,0.039438552237483396,0.1095486331578198,0.026678900184236423,0.06729366356578309,0.15132554167623416,0.24418702691439262,0.09286148523815846,0.10113769306168646,0.6294817975875052
E02,400,true_active_true_active,49,52,50,53,1.7504162,-1.1843685,0.11151293717059847,0.463733412904211,0.5752463500748095,0.048545646857855104,0.23514146304562294,0.06296729031274337,0.22859194985858805,0.007354604636169234,0.083885388606831,-0.1670632280597736,0.028506495135075006,0.1955697231948486,0.12689809641797145,0.6368285905153188
E03,400,true_active_true_active,49,52,50,53,1.7504162,-1.1843685,0.15145269982976559,0.4192625166283211,0.5707152164580866,0.013370867430783244,0.20794878274428785,0.13808183239898233,0.21131373388403324,0.022293948657278247,0.06987647254070241,-0.24681911215478533,0.028506495135075006,0.27532560728986033,0.14709431616309845,0.6542560498968616
E03,400,true_active_true_active,49,12,50,13,1.7504162,1.2004611,0.15145269982976559,0.4717847615076439,0.6232374613374095,0.013370867430783244,0.3242570334627216,0.13808183239898233,0.14752772804492234,0.022293948657278247,0.07143118312562345,0.36273208309841676,0.01151633749355753,0.35121574560485924,0.17675356754452204,0.7287167544930765
E04,400,true_active_true_active,52,12,53,13,-1.1843685,1.2004611,0.34834148885987115,0.35616095845803913,0.7045024473179102,0.15250547100928266,0.24857775156644668,0.1958360178505885,0.10758320689159245,0.053909695794221904,0.04564613675110376,-0.16860888887739944,-0.027381052826895576,0.14122783605050387,0.12494254296595059,0.7523036606271312
E04,434,true_active_true_active,47,12,48,13,-1.5626832,0.5352274,0.05799477206366523,0.6697590215713042,0.7277537936349694,0.023385828236193798,0.6457882541412273,0.034608943827471435,0.02397076743007686,0.002404996998357661,0.21724534610431565,0.027422640037987417,0.06440069856084556,0.03697805852285814,0.22742865365945086,0.759741173631629
E01,437,true_active_true_active,68,47,69,48,1.0165913,0.7803256,0.33470282755128006,0.4150230904372748,0.7497259179885549,0.26960254258404154,0.3263305108743828,0.06510028496723852,0.08869257956289203,0.038644512408970946,0.08140886765141134,0.15253669085688107,0.24418702691439262,0.09165033605751155,0.13128435387974147,0.785766937390907
E02,437,true_active_true_active,68,47,69,48,1.0165913,0.7803256,0.36654945480719153,0.3854687896439217,0.7520182444511132,0.28696780223134305,0.3201343689226324,0.07958165257584848,0.0653344207212893,0.04447740771958464,0.07164137926436545,0.15151379603109494,0.24418702691439262,0.09267323088329768,0.12966980087149002,0.7881535322590867
E03,437,true_active_true_active,68,47,69,48,1.0165913,0.7803256,0.3318937021158953,0.419744752075062,0.7516384541909573,0.2784022463868048,0.32420981759435796,0.05349145572909051,0.09553493448070405,0.042224086795144194,0.09360409785146706,0.14999453373325314,0.24418702691439262,0.09419249318113948,0.13656286220789376,0.7888428637070316
