config_id,seed,j0,j1,beta_true,truth,selected_last,selected_mcmc,pip_last,pip_mcmc,pip_absdiff,pip_js,softgate_last,softgate_absdiff,softgate_js,mean_last,mean_mcmc,sd_last,sd_mcmc,mean_zerr,sd_logerr,sd_ratio,moment_score,beta_skl,zero_beta_score,group
E04,434,66,67,-1.8528882,1,1,1,1.0,1.0,0.0,0.0,0.9996403872849999,0.0003596127150000683,0.0001245944515960144,-1.88188763825,-1.9518775525779075,0.1291889177142277,0.11345179926575408,0.6169131614636509,0.12989773007832195,1.1387118332472812,0.7468108915419729,0.18245114666115958,0.08608664549138115,true_nonzero
E01,434,66,67,-1.8528882,1,1,1,1.0,1.0,0.0,0.0,0.99956416567,0.0004358343300000511,0.0001510174700630127,-1.87428382945,-1.9518775525779075,0.1366938752393863,0.11345179926575408,0.6839355284863631,0.18636585269711922,1.204862893981612,0.8703013811834823,0.23300181657309021,0.10127163343153986,true_nonzero
E02,434,66,67,-1.8528882,1,1,1,1.0,1.0,0.0,0.0,0.9994760114650001,0.0005239885349999085,0.00018157904851094054,-1.880449069925,-1.9518775525779075,0.1359468977306546,0.11345179926575408,0.6295931560297159,0.18088626639128907,1.1982787988176296,0.810479422421005,0.20083645335116038,0.0944475696528079,true_nonzero
E03,434,66,67,-1.8528882,1,1,1,1.0,1.0,0.0,0.0,0.9993867908099999,0.0006132091900000747,0.0002125124729564733,-1.8700355150250003,-1.9518775525779075,0.15050382032889437,0.11345179926575408,0.7213815106394392,0.2826103757638554,1.3265881020579247,1.0039918864032946,0.2975956628510279,0.11950726780604756,true_nonzero
E04,451,19,20,1.9502076,1,1,1,1.0,1.0,0.0,0.0,0.9988306488675001,0.0011693511324999406,0.0004053773589675866,1.948425205225,1.829216229296692,0.1630320923821802,0.11974039524298614,0.9955618213116968,0.3086210186960236,1.3615461886181472,1.3041828400077204,0.4944423095494468,0.16367002420000193,true_nonzero
E06,498,35,36,0.0,0,0,0,0.00025,0.0,0.00025,8.659904290211192e-05,0.000428566476086199,0.000428566476086199,0.00014849792239057504,-0.0004460963495456071,-0.004147389460246844,0.018156258351230387,0.03454341205346663,0.10714899945269872,0.6432012781061132,0.525606823873094,0.7503502775588119,,0.02051701328902368,true_zero
E08,498,35,36,0.0,0,0,0,0.0005,0.0,0.0005,0.00017326241849915846,0.00043036358843804564,0.00043036358843804564,0.00014912092615492305,-0.0006151689995795959,-0.004147389460246844,0.026938326682389477,0.03454341205346663,0.10225450319311283,0.24866671538009136,0.7798395492112531,0.3509212185732042,,0.011567669420182447,true_zero
E07,498,35,36,0.0,0,0,0,0.0005,0.0,0.0005,0.00017326241849915846,0.00046137979765547513,0.00046137979765547513,0.0001598734355802947,-0.00048368779141652797,-0.004147389460246844,0.019886845710679123,0.03454341205346663,0.10606076210861808,0.5521581464551562,0.5757057213352539,0.6582189085637742,,0.018781647809273296,true_zero
E05,498,35,36,0.0,0,0,0,0.001,0.0,0.001,0.00034663955139941976,0.0010737879709412526,0.0010737879709412526,0.0003722312997313851,-0.0008221883360789706,-0.004147389460246844,0.021094217337637722,0.03454341205346663,0.0962614855882285,0.4932177257401841,0.6106580090700885,0.5894792113284126,,0.017848183810938036,true_zero
E02,498,35,36,0.0,0,0,0,0.0005,0.0,0.0005,0.00017326241849915846,0.002045757551951471,0.002045757551951471,0.000709466533004581,-0.002451160497361588,-0.004147389460246844,0.03281638050767043,0.03454341205346663,0.04910425377832621,0.05128904172076661,0.9500037505513187,0.10039329549909282,,0.005469018060632923,true_zero
