seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_absdiff_j,pip_absdiff_k,pre_score,pair_mean_l2,pair_cov_fro,pair_corr_absdiff,pair_mmd2,pair_score
461,active_active,51,5,52,6,0.97236407,-1.5055814,0.0,0.0,0.26573013157899605,0.013200421836413127,0.01757893144886034,0.7693292573470206,0.4056548858645187,0.7540327182240731
460,active_active,30,86,31,87,1.3267565,-1.1018845,0.0,0.0,0.2782338969101315,0.002552884474404268,0.017507783047326062,0.19803393903067038,0.5378358552492363,0.8405053802717068
408,active_active,55,17,56,18,-1.9297644,-0.97261477,0.0,0.011375000000000024,0.29233346996633935,0.005328061762578828,0.017180246700440955,0.29984380859332666,0.5403233582473057,0.8674690769243458
407,active_active,52,15,53,16,-0.99584424,-1.0986573,0.007499999999999951,0.00024999999999997247,0.3396038365320806,0.03679478140178599,0.019871158481065264,0.012935836481666949,0.5181403066244299,0.867684994565122
477,active_active,40,10,41,11,-0.908612,-1.2574542,0.001375000000000015,0.0,0.3499867029048447,0.06512672632930792,0.014368186972002735,0.35638146890951744,0.4786912909300344,0.8744208601017623
422,active_active,52,28,53,29,1.1453912,-1.3490005,0.0,0.0,0.32142066832050975,0.007422429274311888,0.022713566611151887,0.13434510034211905,0.5440503575889586,0.8853261705238994
418,active_active,14,15,15,16,-1.3259425,1.7424791,0.0,0.0,0.3106323668025982,0.019043052363168587,0.019913327717538575,0.5959831088678146,0.5122287617718357,0.889342076626917
412,active_active,34,24,35,25,-1.459824,1.4174571,0.0,0.0,0.29430954675723786,0.0176901808672187,0.017695817875705195,0.5547330935652668,0.5333941549188554,0.8893699835882682
469,active_active,91,76,92,77,-1.8128237,1.4861844,0.009499999999999953,0.0,0.3554600502595645,0.05261387162951804,0.027162092958972164,0.46542777140186603,0.4754323595433281,0.889487097345774
495,active_active,21,89,22,90,-1.7941784,1.7463115,0.0,0.00024999999999997247,0.328976084321738,0.028938691663558953,0.021042632750785956,0.31253178624489597,0.5216624722784436,0.8900462625787238
418,active_active,63,15,64,16,1.3883088,1.7424791,0.0,0.0,0.30665695787900693,0.011240721027729368,0.021040671734716004,0.5362884899517851,0.5285065131017556,0.895176560012393
418,active_active,78,15,79,16,-1.0332497,1.7424791,0.0,0.0,0.313788932733461,0.021547515368074945,0.019790098048916942,0.5772528136190228,0.5203530786234712,0.8989695687678712
469,active_active,91,97,92,98,-1.8128237,-0.7625288,0.009499999999999953,0.02287499999999998,0.3594241842676325,0.049347265326197425,0.027831536282169663,0.8650915161422227,0.4431362705823866,0.9009622170674035
469,active_active,76,97,77,98,1.4861844,-0.7625288,0.0,0.02287499999999998,0.3600449552445262,0.021329442490725367,0.024057967259019337,0.45190194846010956,0.48764840491091044,0.901030991065275
461,active_active,51,49,52,50,0.97236407,1.3403975,0.0,0.0,0.32628252451399986,0.0677146406476353,0.016501302659668666,0.954705910142378,0.4685089745374077,0.901158879795326
477,active_active,40,3,41,4,-0.908612,0.9544339,0.001375000000000015,0.0010000000000000009,0.34089250522406916,0.09090454475049889,0.01514766881340928,0.8001178673744176,0.47002595540954584,0.903807619049459
489,active_active,56,4,57,5,-1.9101125,-1.2009953,0.0,0.0,0.3212119745017733,0.01821016145485434,0.02081801357267764,0.4597779014712786,0.5306801485782814,0.9048954327658374
422,active_active,52,21,53,22,1.1453912,1.7988032,0.0,0.0,0.31610115016115103,0.004584285269008199,0.022819628233090947,0.5372816589951767,0.5333734422390742,0.9093660938849165
433,active_active,60,38,61,39,1.5160873,0.939937,0.0,0.0020000000000000018,0.311011662035936,0.017714394970820696,0.01963085195332446,0.6178306544798852,0.5311341042353674,0.9106079842047051
418,active_active,63,14,64,15,1.3883088,-1.3259425,0.0,0.0,0.29669010361853376,0.017194014579337353,0.018360902331804957,0.7941830356641424,0.5292603715966,0.9116784058224329
