seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,pip_js,spike_js,selected_last,selected_mcmc,tp_both,tn_both,mean_last,mean_mcmc,sd_last,sd_mcmc,slab_skl
434,66,67,-1.8528882,1,0.98775,1.0,0.012249999999999983,0.004264328355305265,0.004264328355305265,1,1,True,False,-1.923596458725,-1.9518775525779075,0.21482598331329483,0.11345179926575408,1.205127547785618
461,98,99,1.7256435,1,0.9595,1.0,0.04049999999999998,0.01424543654690012,0.01424543654690012,1,1,True,False,1.6737565098250002,1.632461999380123,0.3456783669930381,0.14485128728396401,1.5251090689255262
477,55,56,-1.6566087,1,0.96,1.0,0.040000000000000036,0.014066961768342313,0.014066961768342313,1,1,True,False,-1.4396710531999999,-1.5746135855856862,0.29691677270097727,0.11901096231927806,1.5808672554207646
442,85,86,1.7866641,1,0.98175,1.0,0.01824999999999999,0.006366911161369834,0.006366911161369834,1,1,True,False,1.66691630325,1.646167106217601,0.22813458589572105,0.13448847278397777,1.6538765001890043
469,91,92,-1.8128237,1,0.9905,1.0,0.009499999999999953,0.003303713863218124,0.003303713863218124,1,1,True,False,-1.8704417075568696,-1.9191676091188539,0.18760318419795904,0.11887304307742888,1.8506143421113694
451,19,20,1.9502076,1,0.9405,1.0,0.0595,0.02107722066933332,0.02107722066933332,1,1,True,False,1.87821575345,1.829216229296692,0.4748744291764396,0.11974039524298614,1.9738074991688284
479,70,71,1.8310908,1,0.977,1.0,0.02300000000000002,0.008038013535561286,0.008038013535561286,1,1,True,False,1.8679586331138711,2.021374052456251,0.2874243972611453,0.1203330094929886,2.1797154228672175
477,40,41,-0.908612,1,1.0,0.998625,0.001375000000000015,0.0004767144827488344,0.0004767144827488344,1,1,True,False,-0.9389325597249999,-0.8983676136900736,0.11763167719682026,0.12100990299887655,2.375230145003502
479,44,45,1.2752206,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,1.1517881071249998,1.1040086292249298,0.10697167860370457,0.11733675822269073,2.6823966882652597
442,31,32,-0.71004933,1,1.0,0.990875,0.00912500000000005,0.0031728697792716273,0.0031728697792716273,1,1,True,False,-0.726532930685,-0.7865319594861276,0.07854949590931419,0.12155619156386098,3.5727142238889495
477,78,79,-0.78176415,1,1.0,0.984,0.016000000000000014,0.005577362856665184,0.005577362856665184,1,1,True,False,-0.6710137462,-0.7532321609493567,0.054162410868038705,0.12095316659795859,3.8138186084766708
477,46,47,0.7531354,1,0.93175,0.579,0.35275,0.09150206064962291,0.09150206064962291,1,1,True,False,0.7713097698025,0.523864067923816,0.0847752894839132,0.12688410108570022,3.8159691034754033
477,71,72,-1.7963614,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-1.68024240255,-1.778530019125243,0.043806724583229414,0.11937781141204408,3.8802570634515963
469,70,71,0.9030828,1,1.0,0.989125,0.010874999999999968,0.0037837808361239206,0.0037837808361239206,1,1,True,False,0.9268740218025,0.838438385594215,0.051859795930811574,0.14262087387431266,3.9696116115711813
467,28,29,1.6131996,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,1.52065414406,1.3839909612559533,0.04672304965292923,0.12862746174815226,4.050124760133051
477,99,100,0.7441826,1,1.0,0.888875,0.11112500000000003,0.04014825887201783,0.04014825887201783,1,1,True,False,0.8661701981825,0.6546512608439053,0.06375730712562593,0.1282645446690519,4.2069033696021165
498,22,23,-1.7635272,1,0.9985,1.0,0.0014999999999999458,0.0005200807165569384,0.0005200807165569384,1,1,True,False,-1.750994761325,-1.750173740795924,0.07140682671218444,0.12014153335454576,4.256441191744274
451,21,22,-1.2594846,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-1.0979705965500002,-1.3531199324765573,0.07693470265725412,0.11843661225280504,4.416946623411997
477,22,23,-1.082844,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-0.8876293583449999,-1.0211517933578909,0.04191681178426394,0.11074545362926858,4.587343136882157
461,45,46,1.9147837,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,1.671480115175,1.792959483561099,0.03682017114994381,0.120457018754747,4.686346940557378
