seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,selected_last,selected_mcmc,mean_last,mean_mcmc,mean_absdiff,sd_last,sd_mcmc,sd_absdiff,q_mae,q_rmse,tp_both,tn_both,var_score
488,85,86,1.1853541,1,1.0,1.0,0.0,1,1,1.257966230625,1.1096235223431556,0.14834270828184426,0.0017856004020632872,0.10880084363484756,0.10701524323278427,0.15478794449013153,0.18032524756997295,True,False,0.3566382743883679
452,77,78,-1.2069553,1,1.0,1.0,0.0,1,1,-1.0091672089875001,-1.13461507648281,0.1254478674953099,0.02629440778274495,0.12802438315533282,0.10172997537258788,0.1430176667408949,0.17253172923173007,True,False,0.3193305219224987
452,10,11,-1.1652707,1,1.0,1.0,0.0,1,1,-1.353482407115,-1.326954608322295,0.02652779879270506,0.02147969969329539,0.1396941934665329,0.1182144937732375,0.10807970704020267,0.13360589474695522,True,False,0.19371475271952648
451,77,78,-1.550587,1,1.0,1.0,0.0,1,1,-1.3411979730999999,-1.4663089426013507,0.1251109695013508,0.018686696232479608,0.11758650911391987,0.09889981288144026,0.13696333391665177,0.16073659853952518,True,False,0.3115242098587227
451,73,74,1.2404842,1,1.0,1.0,0.0,1,1,0.54346494707,1.1919525412909848,0.6484875942209848,0.03643779407642619,0.12310861106917648,0.08667081699275028,0.6477795863708288,0.6555688469340577,True,False,1.3396025890881886
451,21,22,-1.2594846,1,1.0,1.0,0.0,1,1,-1.0979705965500002,-1.3531199324765573,0.2551493359265571,0.07693470265725412,0.11843661225280504,0.04150190959555092,0.2568542160408562,0.27361271891249783,True,False,0.5327545067651888
451,1,2,1.2273421,1,1.0,1.0,0.0,1,1,1.59399328575,1.3807169541931943,0.2132763315568058,0.05008872320199686,0.12237980004688535,0.0722910768448885,0.21254525023316603,0.23310093021592143,True,False,0.46196712021241615
489,5,6,-1.0735103,1,1.0,1.0,0.0,1,1,-1.01560682185,-0.9876935312823616,0.02791329056763847,0.003476012434586352,0.10942118228214039,0.10594516984755403,0.08535163421633925,0.10564485556749836,True,False,0.16623750970775475
489,4,5,-1.2009953,1,1.0,1.0,0.0,1,1,-1.2290132464749999,-1.2164591698249423,0.012554076650057588,0.005379186374858789,0.12670115151117398,0.12132196513631519,0.0943716147536258,0.11708865851013854,True,False,0.16758667397184096
488,92,93,1.625902,1,1.0,1.0,0.0,1,1,1.553729054475,1.480604287827116,0.07312476664788403,0.0022283383454045707,0.11748494567493023,0.11525660732952565,0.1077585267033724,0.13260223494803816,True,False,0.23851159701601923
453,7,8,1.873057,1,1.0,1.0,0.0,1,1,1.75832088395,1.7312967824420809,0.027024101507919118,0.0033051420878265694,0.11391315519752297,0.1106080131096964,0.08859995389532643,0.10961971200374637,True,False,0.17092806195809374
488,82,83,1.2903137,1,1.0,1.0,0.0,1,1,1.115919914175,1.2343468889105969,0.11842697473559682,0.0015641267899535309,0.1252734241458814,0.12370929735592788,0.1383953810507971,0.16771808222304824,True,False,0.3186770044643578
488,81,82,-1.7968203,1,1.0,1.0,0.0,1,1,-1.56402370515,-1.836830999236967,0.2728072940869668,0.002287201185088173,0.11560465730575178,0.11331745612066361,0.27275235992918617,0.2936692350133853,True,False,0.6022183820764847
488,75,76,-1.8622816,1,1.0,1.0,0.0,1,1,-1.6155900799,-1.7977626341436987,0.18217255424369871,0.0024056402476703154,0.12401947678365924,0.12161383653598892,0.1879182786374014,0.21661228724826,True,False,0.43089775114909457
488,45,46,1.2158521,1,1.0,1.0,0.0,1,1,1.353425424,1.59801134300546,0.24458591900546,0.0018582650364238665,0.15503119760342562,0.15317293256700176,0.24918882017947538,0.2854809881948307,True,False,0.5703612054684363
488,31,32,1.4696031,1,1.0,1.0,0.0,1,1,1.2999487072499998,1.50616853356058,0.2062198263105801,0.0018216294369104804,0.1239634074892167,0.12214177805230622,0.20938806123168544,0.23718995375497526,True,False,0.4766787765684186
454,76,77,-1.6324999,1,1.0,1.0,0.0,1,1,-1.49823135315,-1.4458684715681889,0.05236288158181113,0.01524985830606842,0.10472453001772061,0.08947467171165219,0.08921260338678867,0.10954641050007805,True,False,0.18631282082442588
454,56,57,-1.0884475,1,1.0,1.0,0.0,1,1,-0.8606873758175,-1.0748709909666703,0.21418361514917028,0.00932985735545581,0.12210531447053262,0.1127754571150768,0.2151584755789315,0.24201602753624663,True,False,0.4857298192856402
454,7,8,1.7782769,1,1.0,1.0,0.0,1,1,1.4024984974999999,1.9380160359954883,0.5355175384954884,0.006980532104839174,0.12070115206832908,0.11372061996348991,0.5359212323680941,0.5474880371263072,True,False,1.1282990808453273
456,21,22,-1.6785952,1,1.0,1.0,0.0,1,1,-1.58463105545,-1.6248278355252577,0.04019678007525762,0.0028522068869555736,0.12347013016705317,0.1206179232800976,0.0990134040932804,0.1227296597572219,True,False,0.19951914580858682
