figure,seed,j0,k0,j1,k1,score_name,score
fig1_true_active_joint_density,437,94,22,95,23,joint_skl,2.1706998287416672
fig2_true_active_marginal_density,434,66,,67,,slab_skl,1.205127547785618
fig3_true_zero_inclusion_recovery,451,54,,55,,spike_js,0.0
fig4_pip_recovery_true_nonzero,446,84,,85,,pip_js,0.0
fig4_pip_recovery_true_nonzero,445,68,,69,,pip_js,0.0
fig4_pip_recovery_true_nonzero,445,84,,85,,pip_js,0.0
fig4_pip_recovery_true_nonzero,445,93,,94,,pip_js,0.0
fig4_pip_recovery_true_nonzero,446,9,,10,,pip_js,0.0
fig4_pip_recovery_true_zero,451,54,,55,,pip_js,0.0
fig4_pip_recovery_true_zero,451,34,,35,,pip_js,0.0
fig4_pip_recovery_true_zero,451,29,,30,,pip_js,0.0
fig4_pip_recovery_true_zero,451,27,,28,,pip_js,0.0
fig4_pip_recovery_true_zero,451,25,,26,,pip_js,0.0
